reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
Goulding Cay,28,13,46.42857143,,
Goulding Cay Reef,61,41,67.21311475,,
Graceland,57,22,38.59649123,,
Grand Boukan,5,5,100,,
Grand Goave Ile L'llet,10,0,0,,
Grand Lido,14,6,42.85714286,,
Grande Caille,419,250,59.66587112,,
Grande Caye Sainte Luce,71,32,45.07042254,,
Grass Cay,40,9,22.5,,
Great Bay,66,16,24.24242424,,
Great Bay West Reef,167,11,6.586826347,,
Great St James,21,7,33.33333333,,
Great White Buoy,25,15,60,,
Greater Lameshur Bay,72,38,52.77777778,,
Grecian - Banana (G1),81,6,7.407407407,,
Grecian (Banana) Reef,70,20,28.57142857,,
Grecian Dry Rocks,124,45,36.29032258,,
Green Cay,19,12,63.15789474,,
Green House,45,40,88.88888889,,
Green Island,22,6,27.27272727,,
Green Island East,22,5,22.72727273,,
Gregory,19,11,57.89473684,,
Gros Baguette,0,0,#DIV/0!,,
Gros Mangle E,8,0,0,,
Grotto Beach,19,13,68.42105263,,
Grouper Hole,41,25,60.97560976,,
Guaco Coastal,10,7,70,,
Guaco Seaward,1,0,0,,
Gun Cay,125,79,63.2,,
Half Moon,266,82,30.82706767,,
Harmony Cove,3,2,66.66666667,,
Hermitage,375,173,46.13333333,,
Hermosa Cove,21,6,28.57142857,,
Herradura,91,62,68.13186813,,
Heywoods Beach,18,16,88.88888889,,
Hickory,82,39,47.56097561,,
Hidden Bay,64,34,53.125,,
Hobe Sound National Refuge and Marine Protected Area,84,12,14.28571429,,
Hol Chan,1151,114,9.90443093,,
Honeycomb Reef,71,11,15.49295775,,
Horseshoe,166,13,7.831325301,,
Horseshoe (outside),56,52,92.85714286,,
Horseshoe Reef,117,13,11.11111111,,
Horseshoe Reef Back Reef,114,83,72.80701754,,
Horseshoe Rocks,73,23,31.50684932,,
Hot Springs,423,73,17.25768322,,
Hotch Kyn Patches,252,49,19.44444444,,
Hunting Cay,163,42,25.76687117,,
Iberostar,76,19,25,,
Ile Fa (Lighthouse Island),28,3,10.71428571,,
Ile Sud,15,3,20,,
Ilet a Fijou,27,24,88.88888889,,
Ilet Gosier Lagon,191,28,14.65968586,,
